Feature,Chi2_Score,F_Score,RF_Importance,Abs_Correlation,Chi2_Score_Normalized,F_Score_Normalized,RF_Importance_Normalized,Abs_Correlation_Normalized,Average_Score
PTIa31-3,946906.0863726229,261.5832477255224,0.004700185972675474,0.0038720259318478544,0.0007057571934140122,0.024415535788617673,0.040905422524386566,0.01957388417884699,0.02140014992131631
CI2a21-1,677923.3818939034,15.101128094917957,0.006836127163192119,0.003522777584665915,0.0005052763825441121,0.0013964561057640886,0.0639267596815528,0.017699200348216208,0.0208819231295193
CI2a21-2,655909.1108152621,15.023835069019464,0.00679976988113972,0.0035240944734991255,0.0004888684914675877,0.0013892376741603978,0.0635348981209618,0.017706269100931225,0.020779818346880252
PDIa1-1,35360429.88059937,67.9488887277384,0.002186940034121063,0.006829043511884455,0.026355180149911245,0.006331933027540037,0.013817465998605567,0.03544646622229966,0.02048776134958913
CI2a23-2,182502.86076348895,10.834654298162343,0.006473542377328128,0.0037660930379132896,0.00013602473125189375,0.0009980081354224297,0.060018793188610725,0.0190052610629655,0.020039521779562638
CI2a12-2,15081637.370447893,11.321715792998324,0.005314545304181171,0.003582226382695363,0.011240792874430241,0.0010434950347434915,0.04752703428459749,0.01801830765771532,0.019457407462871636
CI2a12-1,13840307.800935833,9.558114189994699,0.005434610979875663,0.003356395161788664,0.010315593021395637,0.0008787914615626477,0.04882111130012491,0.016806098232240652,0.01920539850383096
PDIa1-R2,37179517.477103114,71.81378238958128,0.0016007024021839817,0.00667027895030327,0.027711000246587014,0.006692877242483693,0.007498952062471476,0.034594255012497195,0.019124271141009844
CI3a31-1,882102.8558041069,15.991461769319221,0.0052547617855354814,0.004971737030819816,0.0006574574180193715,0.001479604781319481,0.046882682958215106,0.025476877370491088,0.018624155632011263
PTIa31-1,5378857.686244127,251.2100015200385,0.00424329522233155,0.0021311083803921115,0.004009022554658401,0.023446773505447806,0.03598101914925714,0.010229044008493319,0.018416464804464166
PAIa15-R2,300541.0505983264,31.361796345875305,0.001760833150287747,0.01111406901795066,0.00022400210532716856,0.0029150474694143017,0.009224853486018796,0.058447485682752556,0.017702847185878206
PDIa13,39324231.8463017,253.0563815198997,0.0022638728417040737,0.0008172321304986166,0.02930951966312175,0.023619207791575045,0.014646653669913828,0.003176462139460162,0.017687960816017693
CI2a23-1,180266.22843045692,10.706149683123842,0.005540855945563829,0.003786699698719035,0.0001343577026427009,0.000986007029712941,0.049966227648467455,0.019115872821410557,0.017550616300558413
CI3a33-1,2991461.497549324,124.35165392583225,0.0021005615357778044,0.008128080733076528,0.0022296251591834453,0.011599413477537736,0.012886471951429165,0.042419395639450685,0.017283726556900258
CI2a12-4,460002.94521315995,10.210153250885478,0.005959726043450292,0.002601860857293906,0.000342853798774104,0.0009396856924361565,0.05448084152983889,0.012755933724072828,0.017129828686280494
PDIa13-R,39324231.8463017,253.0563815198997,0.001854092080168364,0.0008172321304986166,0.02930951966312175,0.023619207791575045,0.010230005349389578,0.003176462139460162,0.016583798735886633
PAIa17-R2,51588.91512443051,23.46750092980612,0.0017906835297522444,0.010357552396912991,3.8450673370514716e-05,0.0021777955523388567,0.009546583153938786,0.05438668056082041,0.016537377485117143
PAIa15-1,456445.72409699816,22.418831732586945,0.0025399302246622486,0.008164507980060258,0.00034020249606230425,0.0020798598487352066,0.017622021210940503,0.04261492862182789,0.015664253044391476
PAIa12,287950.9857059429,7.205418377744059,0.004869690992221881,0.003017275159900952,0.00021461835545588497,0.0006590721064513041,0.042732360560946474,0.01498578100150173,0.014647958006088847
CI3a12-1,203954.30253465555,193.11414967674872,0.0018733852251453622,0.005525748016232894,0.00015201312890350622,0.01802117490694445,0.010437948338320902,0.02845067937907918,0.014265453938312009
